batch.name,treatment,control
f16.PHLC164.TPX.dacomitinib,"f16.PHLC164.TPX.dacomitinib.P1801,f16.PHLC164.TPX.dacomitinib.P1809,f16.PHLC164.TPX.dacomitinib.P1811,f16.PHLC164.TPX.dacomitinib.P1817,f16.PHLC164.TPX.dacomitinib.P1825,f16.PHLC164.TPX.dacomitinib.P1835","f16.PHLC164.TPX.control.P1802,f16.PHLC164.TPX.control.P1813,f16.PHLC164.TPX.control.P1824,f16.PHLC164.TPX.control.P1832,f16.PHLC164.TPX.control.P1833"
f16.PHLC164.TPX.dacomitinib+valproic,"f16.PHLC164.TPX.dacomitinib+valproic.P1812,f16.PHLC164.TPX.dacomitinib+valproic.P1821,f16.PHLC164.TPX.dacomitinib+valproic.P1822,f16.PHLC164.TPX.dacomitinib+valproic.P1827,f16.PHLC164.TPX.dacomitinib+valproic.P1829","f16.PHLC164.TPX.control.P1802,f16.PHLC164.TPX.control.P1813,f16.PHLC164.TPX.control.P1824,f16.PHLC164.TPX.control.P1832,f16.PHLC164.TPX.control.P1833"
f16.PHLC164.TPX.valproic,"f16.PHLC164.TPX.valproic.P1810,f16.PHLC164.TPX.valproic.P1814,f16.PHLC164.TPX.valproic.P1823,f16.PHLC164.TPX.valproic.P1830,f16.PHLC164.TPX.valproic.P1834","f16.PHLC164.TPX.control.P1802,f16.PHLC164.TPX.control.P1813,f16.PHLC164.TPX.control.P1824,f16.PHLC164.TPX.control.P1832,f16.PHLC164.TPX.control.P1833"
f17.PHLC164.TPX.afatinib,"f17.PHLC164.TPX.afatinib.P704,f17.PHLC164.TPX.afatinib.P708","f17.PHLC164.TPX.control.P702,f17.PHLC164.TPX.control.P705,f17.PHLC164.TPX.control.P707"
f17.PHLC164.TPX.dacomitinib,"f17.PHLC164.TPX.dacomitinib.P701,f17.PHLC164.TPX.dacomitinib.P703,f17.PHLC164.TPX.dacomitinib.P706,f17.PHLC164.TPX.dacomitinib.P709,f17.PHLC164.TPX.dacomitinib.P710","f17.PHLC164.TPX.control.P702,f17.PHLC164.TPX.control.P705,f17.PHLC164.TPX.control.P707"
f18.PHLC164.TPX.afatinib,"f18.PHLC164.TPX.afatinib.P801,f18.PHLC164.TPX.afatinib.P802,f18.PHLC164.TPX.afatinib.P803,f18.PHLC164.TPX.afatinib.P804,f18.PHLC164.TPX.afatinib.P805",
f19.PHLC164.TPX.dacomitinib,"f19.PHLC164.TPX.dacomitinib.P1,f19.PHLC164.TPX.dacomitinib.P2,f19.PHLC164.TPX.dacomitinib.P3,f19.PHLC164.TPX.dacomitinib.P4",
f20.PHLC164.TPX.dacomitinib,"f20.PHLC164.TPX.dacomitinib.P1,f20.PHLC164.TPX.dacomitinib.P10,f20.PHLC164.TPX.dacomitinib.P12,f20.PHLC164.TPX.dacomitinib.P2,f20.PHLC164.TPX.dacomitinib.P3,f20.PHLC164.TPX.dacomitinib.P6","f20.PHLC164.TPX.control.P11,f20.PHLC164.TPX.control.P4,f20.PHLC164.TPX.control.P5,f20.PHLC164.TPX.control.P7,f20.PHLC164.TPX.control.P9"
f21.PHLC164.TPX.dacomitinib,"f21.PHLC164.TPX.dacomitinib.P10,f21.PHLC164.TPX.dacomitinib.P11,f21.PHLC164.TPX.dacomitinib.P12,f21.PHLC164.TPX.dacomitinib.P13,f21.PHLC164.TPX.dacomitinib.P14,f21.PHLC164.TPX.dacomitinib.P15,f21.PHLC164.TPX.dacomitinib.P2,f21.PHLC164.TPX.dacomitinib.P4,f21.PHLC164.TPX.dacomitinib.P6,f21.PHLC164.TPX.dacomitinib.P7","f21.PHLC164.TPX.control.P1,f21.PHLC164.TPX.control.P3,f21.PHLC164.TPX.control.P5,f21.PHLC164.TPX.control.P8,f21.PHLC164.TPX.control.P9"
f22.PHLC164.TPX.dacomitinib,"f22.PHLC164.TPX.dacomitinib.P10,f22.PHLC164.TPX.dacomitinib.P2,f22.PHLC164.TPX.dacomitinib.P3,f22.PHLC164.TPX.dacomitinib.P5,f22.PHLC164.TPX.dacomitinib.P7,f22.PHLC164.TPX.dacomitinib.P8","f22.PHLC164.TPX.control.P1,f22.PHLC164.TPX.control.P11,f22.PHLC164.TPX.control.P12,f22.PHLC164.TPX.control.P4,f22.PHLC164.TPX.control.P6,f22.PHLC164.TPX.control.P9"
