batch.name,treatment,control
f54.PHLC235.TPX.docetaxel+sleumetinib,"f54.PHLC235.TPX.docetaxel+sleumetinib.P603,f54.PHLC235.TPX.docetaxel+sleumetinib.P607,f54.PHLC235.TPX.docetaxel+sleumetinib.P611,f54.PHLC235.TPX.docetaxel+sleumetinib.P616,f54.PHLC235.TPX.docetaxel+sleumetinib.P617,f54.PHLC235.TPX.docetaxel+sleumetinib.P618,f54.PHLC235.TPX.docetaxel+sleumetinib.P622,f54.PHLC235.TPX.docetaxel+sleumetinib.P627,f54.PHLC235.TPX.docetaxel+sleumetinib.P628,f54.PHLC235.TPX.docetaxel+sleumetinib.P631,f54.PHLC235.TPX.docetaxel+sleumetinib.P632,f54.PHLC235.TPX.docetaxel+sleumetinib.P633","f54.PHLC235.TPX.control.P605,f54.PHLC235.TPX.control.P609,f54.PHLC235.TPX.control.P610,f54.PHLC235.TPX.control.P615,f54.PHLC235.TPX.control.P619,f54.PHLC235.TPX.control.P621"
f54.PHLC235.TPX.sleumetinib,"f54.PHLC235.TPX.sleumetinib.P604,f54.PHLC235.TPX.sleumetinib.P608,f54.PHLC235.TPX.sleumetinib.P612,f54.PHLC235.TPX.sleumetinib.P613,f54.PHLC235.TPX.sleumetinib.P614,f54.PHLC235.TPX.sleumetinib.P623","f54.PHLC235.TPX.control.P605,f54.PHLC235.TPX.control.P609,f54.PHLC235.TPX.control.P610,f54.PHLC235.TPX.control.P615,f54.PHLC235.TPX.control.P619,f54.PHLC235.TPX.control.P621"
f55.PHLC235.TPX.cisplatin+vinorelbine,"f55.PHLC235.TPX.cisplatin+vinorelbine.P601,f55.PHLC235.TPX.cisplatin+vinorelbine.P602,f55.PHLC235.TPX.cisplatin+vinorelbine.P603,f55.PHLC235.TPX.cisplatin+vinorelbine.P604,f55.PHLC235.TPX.cisplatin+vinorelbine.P609,f55.PHLC235.TPX.cisplatin+vinorelbine.P613,f55.PHLC235.TPX.cisplatin+vinorelbine.P614","f55.PHLC235.TPX.control.P605,f55.PHLC235.TPX.control.P606,f55.PHLC235.TPX.control.P607,f55.PHLC235.TPX.control.P608,f55.PHLC235.TPX.control.P610,f55.PHLC235.TPX.control.P611,f55.PHLC235.TPX.control.P612"
f56.PHLC235.TPX.docetaxel,"f56.PHLC235.TPX.docetaxel.P701,f56.PHLC235.TPX.docetaxel.P706,f56.PHLC235.TPX.docetaxel.P712,f56.PHLC235.TPX.docetaxel.P714,f56.PHLC235.TPX.docetaxel.P715,f56.PHLC235.TPX.docetaxel.P720","f56.PHLC235.TPX.control.P702,f56.PHLC235.TPX.control.P716,f56.PHLC235.TPX.control.P721,f56.PHLC235.TPX.control.P724,f56.PHLC235.TPX.control.P726"
f56.PHLC235.TPX.docetaxel+sleumetinib,"f56.PHLC235.TPX.docetaxel+sleumetinib.P703,f56.PHLC235.TPX.docetaxel+sleumetinib.P704,f56.PHLC235.TPX.docetaxel+sleumetinib.P708,f56.PHLC235.TPX.docetaxel+sleumetinib.P709,f56.PHLC235.TPX.docetaxel+sleumetinib.P717,f56.PHLC235.TPX.docetaxel+sleumetinib.P718,f56.PHLC235.TPX.docetaxel+sleumetinib.P722,f56.PHLC235.TPX.docetaxel+sleumetinib.P723,f56.PHLC235.TPX.docetaxel+sleumetinib.P725,f56.PHLC235.TPX.docetaxel+sleumetinib.P727,f56.PHLC235.TPX.docetaxel+sleumetinib.P728,f56.PHLC235.TPX.docetaxel+sleumetinib.P730","f56.PHLC235.TPX.control.P702,f56.PHLC235.TPX.control.P716,f56.PHLC235.TPX.control.P721,f56.PHLC235.TPX.control.P724,f56.PHLC235.TPX.control.P726"
f56.PHLC235.TPX.sleumetinib,"f56.PHLC235.TPX.sleumetinib.P705,f56.PHLC235.TPX.sleumetinib.P707,f56.PHLC235.TPX.sleumetinib.P711,f56.PHLC235.TPX.sleumetinib.P713,f56.PHLC235.TPX.sleumetinib.P719,f56.PHLC235.TPX.sleumetinib.P729","f56.PHLC235.TPX.control.P702,f56.PHLC235.TPX.control.P716,f56.PHLC235.TPX.control.P721,f56.PHLC235.TPX.control.P724,f56.PHLC235.TPX.control.P726"
f57.PHLC655.TPX.cisplatin+vinorelbine,"f57.PHLC655.TPX.cisplatin+vinorelbine.P703,f57.PHLC655.TPX.cisplatin+vinorelbine.P705,f57.PHLC655.TPX.cisplatin+vinorelbine.P708,f57.PHLC655.TPX.cisplatin+vinorelbine.P709,f57.PHLC655.TPX.cisplatin+vinorelbine.P710,f57.PHLC655.TPX.cisplatin+vinorelbine.P712","f57.PHLC655.TPX.control.P701,f57.PHLC655.TPX.control.P702,f57.PHLC655.TPX.control.P704,f57.PHLC655.TPX.control.P706,f57.PHLC655.TPX.control.P707,f57.PHLC655.TPX.control.P711"
f58.PHLC82.TPX.cisplatin+vinorelbine,"f58.PHLC82.TPX.cisplatin+vinorelbine.P501,f58.PHLC82.TPX.cisplatin+vinorelbine.P502,f58.PHLC82.TPX.cisplatin+vinorelbine.P503,f58.PHLC82.TPX.cisplatin+vinorelbine.P505,f58.PHLC82.TPX.cisplatin+vinorelbine.P507,f58.PHLC82.TPX.cisplatin+vinorelbine.P510","f58.PHLC82.TPX.control.P504,f58.PHLC82.TPX.control.P506,f58.PHLC82.TPX.control.P508,f58.PHLC82.TPX.control.P509,f58.PHLC82.TPX.control.P511"
f60.PHLC12.TPX.gefitinib,"f60.PHLC12.TPX.gefitinib.P701,f60.PHLC12.TPX.gefitinib.P705,f60.PHLC12.TPX.gefitinib.P707,f60.PHLC12.TPX.gefitinib.P709,f60.PHLC12.TPX.gefitinib.P711","f60.PHLC12.TPX.control.P702,f60.PHLC12.TPX.control.P703,f60.PHLC12.TPX.control.P704,f60.PHLC12.TPX.control.P706,f60.PHLC12.TPX.control.P708,f60.PHLC12.TPX.control.P710,f60.PHLC12.TPX.control.P712"
f62.PHLC186.TPX.BKM120,"f62.PHLC186.TPX.BKM120.P701,f62.PHLC186.TPX.BKM120.P702,f62.PHLC186.TPX.BKM120.P705,f62.PHLC186.TPX.BKM120.P711,f62.PHLC186.TPX.BKM120.P717,f62.PHLC186.TPX.BKM120.P718","f62.PHLC186.TPX.control.P704,f62.PHLC186.TPX.control.P706,f62.PHLC186.TPX.control.P707,f62.PHLC186.TPX.control.P708,f62.PHLC186.TPX.control.P713"
f62.PHLC186.TPX.dacomitinib,"f62.PHLC186.TPX.dacomitinib.P709,f62.PHLC186.TPX.dacomitinib.P710,f62.PHLC186.TPX.dacomitinib.P712,f62.PHLC186.TPX.dacomitinib.P714,f62.PHLC186.TPX.dacomitinib.P715,f62.PHLC186.TPX.dacomitinib.P716","f62.PHLC186.TPX.control.P704,f62.PHLC186.TPX.control.P706,f62.PHLC186.TPX.control.P707,f62.PHLC186.TPX.control.P708,f62.PHLC186.TPX.control.P713"
f62.PHLC186.TPX.erlotinib,f62.PHLC186.TPX.erlotinib.P703,"f62.PHLC186.TPX.control.P704,f62.PHLC186.TPX.control.P706,f62.PHLC186.TPX.control.P707,f62.PHLC186.TPX.control.P708,f62.PHLC186.TPX.control.P713"
f63.PHLC12.TPX.erlotinib,"f63.PHLC12.TPX.erlotinib.P801,f63.PHLC12.TPX.erlotinib.P803,f63.PHLC12.TPX.erlotinib.P804,f63.PHLC12.TPX.erlotinib.P805,f63.PHLC12.TPX.erlotinib.P807","f63.PHLC12.TPX.control.P802,f63.PHLC12.TPX.control.P806,f63.PHLC12.TPX.control.P808"
f64.PHLC12.TPX.BKM120,"f64.PHLC12.TPX.BKM120.P601,f64.PHLC12.TPX.BKM120.P607,f64.PHLC12.TPX.BKM120.P608,f64.PHLC12.TPX.BKM120.P613,f64.PHLC12.TPX.BKM120.P614,f64.PHLC12.TPX.BKM120.P618","f64.PHLC12.TPX.control.P602,f64.PHLC12.TPX.control.P603,f64.PHLC12.TPX.control.P605,f64.PHLC12.TPX.control.P609,f64.PHLC12.TPX.control.P610,f64.PHLC12.TPX.control.P612,f64.PHLC12.TPX.control.P616"
f64.PHLC12.TPX.erlotinib,"f64.PHLC12.TPX.erlotinib.P604,f64.PHLC12.TPX.erlotinib.P606,f64.PHLC12.TPX.erlotinib.P611,f64.PHLC12.TPX.erlotinib.P615,f64.PHLC12.TPX.erlotinib.P617","f64.PHLC12.TPX.control.P602,f64.PHLC12.TPX.control.P603,f64.PHLC12.TPX.control.P605,f64.PHLC12.TPX.control.P609,f64.PHLC12.TPX.control.P610,f64.PHLC12.TPX.control.P612,f64.PHLC12.TPX.control.P616"
f65.PHLC12.TPX.RG7388,"f65.PHLC12.TPX.RG7388.P54,f65.PHLC12.TPX.RG7388.P55,f65.PHLC12.TPX.RG7388.P56,f65.PHLC12.TPX.RG7388.P57,f65.PHLC12.TPX.RG7388.P58,f65.PHLC12.TPX.RG7388.P59,f65.PHLC12.TPX.RG7388.P60","f65.PHLC12.TPX.control.P47,f65.PHLC12.TPX.control.P48,f65.PHLC12.TPX.control.P49,f65.PHLC12.TPX.control.P50,f65.PHLC12.TPX.control.P51,f65.PHLC12.TPX.control.P52,f65.PHLC12.TPX.control.P53"
f65.PHLC12.TPX.RG7388-50,"f65.PHLC12.TPX.RG7388-50.P61,f65.PHLC12.TPX.RG7388-50.P62,f65.PHLC12.TPX.RG7388-50.P63,f65.PHLC12.TPX.RG7388-50.P64,f65.PHLC12.TPX.RG7388-50.P65,f65.PHLC12.TPX.RG7388-50.P66","f65.PHLC12.TPX.control.P47,f65.PHLC12.TPX.control.P48,f65.PHLC12.TPX.control.P49,f65.PHLC12.TPX.control.P50,f65.PHLC12.TPX.control.P51,f65.PHLC12.TPX.control.P52,f65.PHLC12.TPX.control.P53"
f66.PHLC77.TPX.erlotinib,"f66.PHLC77.TPX.erlotinib.P1201,f66.PHLC77.TPX.erlotinib.P1203,f66.PHLC77.TPX.erlotinib.P1206,f66.PHLC77.TPX.erlotinib.P1207,f66.PHLC77.TPX.erlotinib.P1208,f66.PHLC77.TPX.erlotinib.P1209","f66.PHLC77.TPX.control.P1202,f66.PHLC77.TPX.control.P1205,f66.PHLC77.TPX.control.P1210,f66.PHLC77.TPX.control.P1212,f66.PHLC77.TPX.control.P1213,f66.PHLC77.TPX.control.P1214"
f67.PHLC77.TPX.erlotinib,"f67.PHLC77.TPX.erlotinib.P1101,f67.PHLC77.TPX.erlotinib.P1102,f67.PHLC77.TPX.erlotinib.P1103,f67.PHLC77.TPX.erlotinib.P1104,f67.PHLC77.TPX.erlotinib.P1105,f67.PHLC77.TPX.erlotinib.P1106,f67.PHLC77.TPX.erlotinib.P1107,f67.PHLC77.TPX.erlotinib.P1108,f67.PHLC77.TPX.erlotinib.P1109,f67.PHLC77.TPX.erlotinib.P1110,f67.PHLC77.TPX.erlotinib.P1111,f67.PHLC77.TPX.erlotinib.P1112,f67.PHLC77.TPX.erlotinib.P1113",
f68.PHLC77.TPX.cetuximab,"f68.PHLC77.TPX.cetuximab.P701,f68.PHLC77.TPX.cetuximab.P710,f68.PHLC77.TPX.cetuximab.P712,f68.PHLC77.TPX.cetuximab.P714,f68.PHLC77.TPX.cetuximab.P715,f68.PHLC77.TPX.cetuximab.P718,f68.PHLC77.TPX.cetuximab.P719","f68.PHLC77.TPX.control.P705,f68.PHLC77.TPX.control.P706,f68.PHLC77.TPX.control.P707,f68.PHLC77.TPX.control.P708,f68.PHLC77.TPX.control.P709,f68.PHLC77.TPX.control.P717"
f68.PHLC77.TPX.erlotinib,"f68.PHLC77.TPX.erlotinib.P702,f68.PHLC77.TPX.erlotinib.P703,f68.PHLC77.TPX.erlotinib.P704,f68.PHLC77.TPX.erlotinib.P711,f68.PHLC77.TPX.erlotinib.P713,f68.PHLC77.TPX.erlotinib.P716,f68.PHLC77.TPX.erlotinib.P720","f68.PHLC77.TPX.control.P705,f68.PHLC77.TPX.control.P706,f68.PHLC77.TPX.control.P707,f68.PHLC77.TPX.control.P708,f68.PHLC77.TPX.control.P709,f68.PHLC77.TPX.control.P717"
f69.PHLC77.TPX.afatinib,"f69.PHLC77.TPX.afatinib.P801,f69.PHLC77.TPX.afatinib.P807,f69.PHLC77.TPX.afatinib.P816,f69.PHLC77.TPX.afatinib.P817,f69.PHLC77.TPX.afatinib.P824,f69.PHLC77.TPX.afatinib.P825","f69.PHLC77.TPX.control.P802,f69.PHLC77.TPX.control.P804,f69.PHLC77.TPX.control.P805,f69.PHLC77.TPX.control.P811,f69.PHLC77.TPX.control.P822,f69.PHLC77.TPX.control.P823"
f69.PHLC77.TPX.cisplatin+vinorelbine,"f69.PHLC77.TPX.cisplatin+vinorelbine.P806,f69.PHLC77.TPX.cisplatin+vinorelbine.P808,f69.PHLC77.TPX.cisplatin+vinorelbine.P812,f69.PHLC77.TPX.cisplatin+vinorelbine.P818,f69.PHLC77.TPX.cisplatin+vinorelbine.P819,f69.PHLC77.TPX.cisplatin+vinorelbine.P820","f69.PHLC77.TPX.control.P802,f69.PHLC77.TPX.control.P804,f69.PHLC77.TPX.control.P805,f69.PHLC77.TPX.control.P811,f69.PHLC77.TPX.control.P822,f69.PHLC77.TPX.control.P823"
f69.PHLC77.TPX.dacomitinib,"f69.PHLC77.TPX.dacomitinib.P803,f69.PHLC77.TPX.dacomitinib.P810,f69.PHLC77.TPX.dacomitinib.P813,f69.PHLC77.TPX.dacomitinib.P814,f69.PHLC77.TPX.dacomitinib.P815,f69.PHLC77.TPX.dacomitinib.P821","f69.PHLC77.TPX.control.P802,f69.PHLC77.TPX.control.P804,f69.PHLC77.TPX.control.P805,f69.PHLC77.TPX.control.P811,f69.PHLC77.TPX.control.P822,f69.PHLC77.TPX.control.P823"
f70.PHLC77.TPX.afatinib,"f70.PHLC77.TPX.afatinib.P901,f70.PHLC77.TPX.afatinib.P902,f70.PHLC77.TPX.afatinib.P903,f70.PHLC77.TPX.afatinib.P904,f70.PHLC77.TPX.afatinib.P905",
f71.PHLC77.TPX.afatinib,"f71.PHLC77.TPX.afatinib.P1001,f71.PHLC77.TPX.afatinib.P1002",
f72.PHLC132.TPX.cisplatin,"f72.PHLC132.TPX.cisplatin.P406,f72.PHLC132.TPX.cisplatin.P408,f72.PHLC132.TPX.cisplatin.P409,f72.PHLC132.TPX.cisplatin.P416,f72.PHLC132.TPX.cisplatin.P426,f72.PHLC132.TPX.cisplatin.P427,f72.PHLC132.TPX.cisplatin.P433,f72.PHLC132.TPX.cisplatin.P434,f72.PHLC132.TPX.cisplatin.P435,f72.PHLC132.TPX.cisplatin.P436","f72.PHLC132.TPX.control.P402,f72.PHLC132.TPX.control.P411,f72.PHLC132.TPX.control.P412,f72.PHLC132.TPX.control.P413,f72.PHLC132.TPX.control.P432,f72.PHLC132.TPX.control.P437,f72.PHLC132.TPX.control.P438,f72.PHLC132.TPX.control.P439"
f72.PHLC132.TPX.pemetrexed,"f72.PHLC132.TPX.pemetrexed.P404,f72.PHLC132.TPX.pemetrexed.P414,f72.PHLC132.TPX.pemetrexed.P422","f72.PHLC132.TPX.control.P402,f72.PHLC132.TPX.control.P411,f72.PHLC132.TPX.control.P412,f72.PHLC132.TPX.control.P413,f72.PHLC132.TPX.control.P432,f72.PHLC132.TPX.control.P437,f72.PHLC132.TPX.control.P438,f72.PHLC132.TPX.control.P439"
f72.PHLC132.TPX.vinorelbine,"f72.PHLC132.TPX.vinorelbine.P402,f72.PHLC132.TPX.vinorelbine.P419,f72.PHLC132.TPX.vinorelbine.P420,f72.PHLC132.TPX.vinorelbine.P421,f72.PHLC132.TPX.vinorelbine.P423,f72.PHLC132.TPX.vinorelbine.P424,f72.PHLC132.TPX.vinorelbine.P429,f72.PHLC132.TPX.vinorelbine.P430,f72.PHLC132.TPX.vinorelbine.P431","f72.PHLC132.TPX.control.P402,f72.PHLC132.TPX.control.P411,f72.PHLC132.TPX.control.P412,f72.PHLC132.TPX.control.P413,f72.PHLC132.TPX.control.P432,f72.PHLC132.TPX.control.P437,f72.PHLC132.TPX.control.P438,f72.PHLC132.TPX.control.P439"
f73.PHLC140.TPX.BKM120,"f73.PHLC140.TPX.BKM120.P501,f73.PHLC140.TPX.BKM120.P502,f73.PHLC140.TPX.BKM120.P505,f73.PHLC140.TPX.BKM120.P506,f73.PHLC140.TPX.BKM120.P511,f73.PHLC140.TPX.BKM120.P512","f73.PHLC140.TPX.control.P503,f73.PHLC140.TPX.control.P504,f73.PHLC140.TPX.control.P507,f73.PHLC140.TPX.control.P508,f73.PHLC140.TPX.control.P509,f73.PHLC140.TPX.control.P510"
f74.PHLC142.TPX.cisplatin,"f74.PHLC142.TPX.cisplatin.P511,f74.PHLC142.TPX.cisplatin.P512,f74.PHLC142.TPX.cisplatin.P513,f74.PHLC142.TPX.cisplatin.P514,f74.PHLC142.TPX.cisplatin.P515,f74.PHLC142.TPX.cisplatin.P516,f74.PHLC142.TPX.cisplatin.P517,f74.PHLC142.TPX.cisplatin.P518,f74.PHLC142.TPX.cisplatin.P519,f74.PHLC142.TPX.cisplatin.P520","f74.PHLC142.TPX.control.P501,f74.PHLC142.TPX.control.P502,f74.PHLC142.TPX.control.P503,f74.PHLC142.TPX.control.P504,f74.PHLC142.TPX.control.P505,f74.PHLC142.TPX.control.P506,f74.PHLC142.TPX.control.P507,f74.PHLC142.TPX.control.P508,f74.PHLC142.TPX.control.P509,f74.PHLC142.TPX.control.P510"
f74.PHLC142.TPX.vinorelbine,"f74.PHLC142.TPX.vinorelbine.P521,f74.PHLC142.TPX.vinorelbine.P522,f74.PHLC142.TPX.vinorelbine.P523,f74.PHLC142.TPX.vinorelbine.P524,f74.PHLC142.TPX.vinorelbine.P525,f74.PHLC142.TPX.vinorelbine.P526,f74.PHLC142.TPX.vinorelbine.P527,f74.PHLC142.TPX.vinorelbine.P528,f74.PHLC142.TPX.vinorelbine.P529,f74.PHLC142.TPX.vinorelbine.P530","f74.PHLC142.TPX.control.P501,f74.PHLC142.TPX.control.P502,f74.PHLC142.TPX.control.P503,f74.PHLC142.TPX.control.P504,f74.PHLC142.TPX.control.P505,f74.PHLC142.TPX.control.P506,f74.PHLC142.TPX.control.P507,f74.PHLC142.TPX.control.P508,f74.PHLC142.TPX.control.P509,f74.PHLC142.TPX.control.P510"
f75.PHLC142.TPX.BKM120,"f75.PHLC142.TPX.BKM120.P601,f75.PHLC142.TPX.BKM120.P603,f75.PHLC142.TPX.BKM120.P606,f75.PHLC142.TPX.BKM120.P607,f75.PHLC142.TPX.BKM120.P610,f75.PHLC142.TPX.BKM120.P612","f75.PHLC142.TPX.control.P602,f75.PHLC142.TPX.control.P604,f75.PHLC142.TPX.control.P605,f75.PHLC142.TPX.control.P608,f75.PHLC142.TPX.control.P609,f75.PHLC142.TPX.control.P611"
f77.PHLC188.TPX.BKM120,"f77.PHLC188.TPX.BKM120.P601,f77.PHLC188.TPX.BKM120.P602,f77.PHLC188.TPX.BKM120.P603,f77.PHLC188.TPX.BKM120.P607,f77.PHLC188.TPX.BKM120.P609,f77.PHLC188.TPX.BKM120.P611","f77.PHLC188.TPX.control.P604,f77.PHLC188.TPX.control.P605,f77.PHLC188.TPX.control.P606,f77.PHLC188.TPX.control.P608,f77.PHLC188.TPX.control.P610,f77.PHLC188.TPX.control.P612"
f78.PHLC77.TPX.BKM120,"f78.PHLC77.TPX.BKM120.P702,f78.PHLC77.TPX.BKM120.P703,f78.PHLC77.TPX.BKM120.P704,f78.PHLC77.TPX.BKM120.P706,f78.PHLC77.TPX.BKM120.P707,f78.PHLC77.TPX.BKM120.P714","f78.PHLC77.TPX.control.P701,f78.PHLC77.TPX.control.P708,f78.PHLC77.TPX.control.P709,f78.PHLC77.TPX.control.P711,f78.PHLC77.TPX.control.P712,f78.PHLC77.TPX.control.P713"
f79.PHLC191.TPX.BKM120,"f79.PHLC191.TPX.BKM120.P801,f79.PHLC191.TPX.BKM120.P803,f79.PHLC191.TPX.BKM120.P806,f79.PHLC191.TPX.BKM120.P807,f79.PHLC191.TPX.BKM120.P811,f79.PHLC191.TPX.BKM120.P812","f79.PHLC191.TPX.control.P802,f79.PHLC191.TPX.control.P804,f79.PHLC191.TPX.control.P805,f79.PHLC191.TPX.control.P808,f79.PHLC191.TPX.control.P809,f79.PHLC191.TPX.control.P810"
f80.PHLC191.TPX.PF502,"f80.PHLC191.TPX.PF502.P10,f80.PHLC191.TPX.PF502.P15,f80.PHLC191.TPX.PF502.P29,f80.PHLC191.TPX.PF502.P3,f80.PHLC191.TPX.PF502.P34,f80.PHLC191.TPX.PF502.P42,f80.PHLC191.TPX.PF502.P46,f80.PHLC191.TPX.PF502.P49,f80.PHLC191.TPX.PF502.P67,f80.PHLC191.TPX.PF502.P79,f80.PHLC191.TPX.PF502.P83,f80.PHLC191.TPX.PF502.P87","f80.PHLC191.TPX.control.P14,f80.PHLC191.TPX.control.P27,f80.PHLC191.TPX.control.P35,f80.PHLC191.TPX.control.P37,f80.PHLC191.TPX.control.P39,f80.PHLC191.TPX.control.P48,f80.PHLC191.TPX.control.P54,f80.PHLC191.TPX.control.P6,f80.PHLC191.TPX.control.P71,f80.PHLC191.TPX.control.P73,f80.PHLC191.TPX.control.P78,f80.PHLC191.TPX.control.P81"
f80.PHLC191.TPX.dacomitinib,"f80.PHLC191.TPX.dacomitinib.P12,f80.PHLC191.TPX.dacomitinib.P17,f80.PHLC191.TPX.dacomitinib.P21,f80.PHLC191.TPX.dacomitinib.P38,f80.PHLC191.TPX.dacomitinib.P44,f80.PHLC191.TPX.dacomitinib.P60,f80.PHLC191.TPX.dacomitinib.P65,f80.PHLC191.TPX.dacomitinib.P74,f80.PHLC191.TPX.dacomitinib.P75,f80.PHLC191.TPX.dacomitinib.P80,f80.PHLC191.TPX.dacomitinib.P85,f80.PHLC191.TPX.dacomitinib.P88","f80.PHLC191.TPX.control.P14,f80.PHLC191.TPX.control.P27,f80.PHLC191.TPX.control.P35,f80.PHLC191.TPX.control.P37,f80.PHLC191.TPX.control.P39,f80.PHLC191.TPX.control.P48,f80.PHLC191.TPX.control.P54,f80.PHLC191.TPX.control.P6,f80.PHLC191.TPX.control.P71,f80.PHLC191.TPX.control.P73,f80.PHLC191.TPX.control.P78,f80.PHLC191.TPX.control.P81"
f80.PHLC191.TPX.dacomitinib+PF502,"f80.PHLC191.TPX.dacomitinib+PF502.P18,f80.PHLC191.TPX.dacomitinib+PF502.P19,f80.PHLC191.TPX.dacomitinib+PF502.P2,f80.PHLC191.TPX.dacomitinib+PF502.P20,f80.PHLC191.TPX.dacomitinib+PF502.P23,f80.PHLC191.TPX.dacomitinib+PF502.P41,f80.PHLC191.TPX.dacomitinib+PF502.P45,f80.PHLC191.TPX.dacomitinib+PF502.P52,f80.PHLC191.TPX.dacomitinib+PF502.P58,f80.PHLC191.TPX.dacomitinib+PF502.P68,f80.PHLC191.TPX.dacomitinib+PF502.P8,f80.PHLC191.TPX.dacomitinib+PF502.P84,f80.PHLC191.TPX.dacomitinib+PF502.P86","f80.PHLC191.TPX.control.P14,f80.PHLC191.TPX.control.P27,f80.PHLC191.TPX.control.P35,f80.PHLC191.TPX.control.P37,f80.PHLC191.TPX.control.P39,f80.PHLC191.TPX.control.P48,f80.PHLC191.TPX.control.P54,f80.PHLC191.TPX.control.P6,f80.PHLC191.TPX.control.P71,f80.PHLC191.TPX.control.P73,f80.PHLC191.TPX.control.P78,f80.PHLC191.TPX.control.P81"
f80.PHLC191.TPX.paclitaxel,"f80.PHLC191.TPX.paclitaxel.P26,f80.PHLC191.TPX.paclitaxel.P28,f80.PHLC191.TPX.paclitaxel.P5,f80.PHLC191.TPX.paclitaxel.P53,f80.PHLC191.TPX.paclitaxel.P56,f80.PHLC191.TPX.paclitaxel.P59,f80.PHLC191.TPX.paclitaxel.P63,f80.PHLC191.TPX.paclitaxel.P76,f80.PHLC191.TPX.paclitaxel.P77,f80.PHLC191.TPX.paclitaxel.P82,f80.PHLC191.TPX.paclitaxel.P9","f80.PHLC191.TPX.control.P14,f80.PHLC191.TPX.control.P27,f80.PHLC191.TPX.control.P35,f80.PHLC191.TPX.control.P37,f80.PHLC191.TPX.control.P39,f80.PHLC191.TPX.control.P48,f80.PHLC191.TPX.control.P54,f80.PHLC191.TPX.control.P6,f80.PHLC191.TPX.control.P71,f80.PHLC191.TPX.control.P73,f80.PHLC191.TPX.control.P78,f80.PHLC191.TPX.control.P81"
f80.PHLC191.TPX.paclitaxel+PF502,"f80.PHLC191.TPX.paclitaxel+PF502.P16,f80.PHLC191.TPX.paclitaxel+PF502.P24,f80.PHLC191.TPX.paclitaxel+PF502.P36,f80.PHLC191.TPX.paclitaxel+PF502.P4,f80.PHLC191.TPX.paclitaxel+PF502.P43,f80.PHLC191.TPX.paclitaxel+PF502.P50,f80.PHLC191.TPX.paclitaxel+PF502.P61,f80.PHLC191.TPX.paclitaxel+PF502.P7","f80.PHLC191.TPX.control.P14,f80.PHLC191.TPX.control.P27,f80.PHLC191.TPX.control.P35,f80.PHLC191.TPX.control.P37,f80.PHLC191.TPX.control.P39,f80.PHLC191.TPX.control.P48,f80.PHLC191.TPX.control.P54,f80.PHLC191.TPX.control.P6,f80.PHLC191.TPX.control.P71,f80.PHLC191.TPX.control.P73,f80.PHLC191.TPX.control.P78,f80.PHLC191.TPX.control.P81"
f81.PHLC191.TPX.PF384,"f81.PHLC191.TPX.PF384.P17,f81.PHLC191.TPX.PF384.P19,f81.PHLC191.TPX.PF384.P23,f81.PHLC191.TPX.PF384.P29,f81.PHLC191.TPX.PF384.P34,f81.PHLC191.TPX.PF384.P35,f81.PHLC191.TPX.PF384.P36,f81.PHLC191.TPX.PF384.P39,f81.PHLC191.TPX.PF384.P45,f81.PHLC191.TPX.PF384.P47,f81.PHLC191.TPX.PF384.P48,f81.PHLC191.TPX.PF384.P49,f81.PHLC191.TPX.PF384.P56,f81.PHLC191.TPX.PF384.P58","f81.PHLC191.TPX.control.P18,f81.PHLC191.TPX.control.P20,f81.PHLC191.TPX.control.P24,f81.PHLC191.TPX.control.P26,f81.PHLC191.TPX.control.P28,f81.PHLC191.TPX.control.P41,f81.PHLC191.TPX.control.P42,f81.PHLC191.TPX.control.P43,f81.PHLC191.TPX.control.P46,f81.PHLC191.TPX.control.P5,f81.PHLC191.TPX.control.P55,f81.PHLC191.TPX.control.P8"
f81.PHLC191.TPX.cisplatin,"f81.PHLC191.TPX.cisplatin.P12,f81.PHLC191.TPX.cisplatin.P13,f81.PHLC191.TPX.cisplatin.P14,f81.PHLC191.TPX.cisplatin.P16,f81.PHLC191.TPX.cisplatin.P21,f81.PHLC191.TPX.cisplatin.P31,f81.PHLC191.TPX.cisplatin.P4,f81.PHLC191.TPX.cisplatin.P40,f81.PHLC191.TPX.cisplatin.P50,f81.PHLC191.TPX.cisplatin.P52,f81.PHLC191.TPX.cisplatin.P57,f81.PHLC191.TPX.cisplatin.P60","f81.PHLC191.TPX.control.P18,f81.PHLC191.TPX.control.P20,f81.PHLC191.TPX.control.P24,f81.PHLC191.TPX.control.P26,f81.PHLC191.TPX.control.P28,f81.PHLC191.TPX.control.P41,f81.PHLC191.TPX.control.P42,f81.PHLC191.TPX.control.P43,f81.PHLC191.TPX.control.P46,f81.PHLC191.TPX.control.P5,f81.PHLC191.TPX.control.P55,f81.PHLC191.TPX.control.P8"
