Hugo_Symbol	PHLC110	PHLC111	PHLC119	PHLC12	PHLC132	PHLC137	PHLC148	PHLC164	PHLC169	PHLC181	PHLC188	PHLC189	PHLC191	PHLC192	PHLC196	PHLC200	PHLC215	PHLC228	PHLC229	PHLC235	PHLC267	PHLC274	PHLC299	PHLC321	PHLC402	PHLC410	PHLC470	PHLC655	PHLC77	PHLC82
PDCD10	1	1	-1	1	1	-1	-1	0	1	1	2	-1	-1	-1	1	2	1	2	1	-1	2	0	1	1	-1	1	1	1	2	0
RNF139	-1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	2	1	-1	2	0	1	1	1	1	2	1	-1
RNF24	1	-1	-1	-1	-1	1	-1	1	1	-1	1	1	-1	-1	1	1	-1	1	1	-1	1	0	0	-1	-1	1	0	-1	1	1
PADI2	-1	0	0	-1	1	0	1	0	-1	0	0	1	-1	1	-1	-1	1	-1	-1	-1	-2	0	-1	-1	-1	1	0	1	-1	1
PMF1	1	1	1	1	0	0	-1	1	1	2	-1	1	1	1	-1	1	-1	1	1	1	1	0	0	1	2	0	0	1	-1	1
ZHX1	-1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	2	1	-1	2	0	1	1	1	1	2	1	-1
GPR176	-1	-1	-1	-1	1	-1	-1	-1	1	-1	0	0	-1	1	-1	1	0	1	1	-1	0	1	1	1	0	-1	1	-1	1	1
NXPH4	-1	0	1	-1	1	2	1	1	-1	2	0	1	0	-1	1	1	1	1	0	-1	1	0	-1	1	-1	-1	-1	0	1	-1
NXPH3	1	1	1	-1	-1	1	1	1	0	1	1	1	-1	1	1	0	0	1	-1	1	1	0	0	-1	1	-1	-1	0	0	1
NXPH2	1	0	1	1	-1	1	-1	0	1	0	0	0	1	1	0	1	-1	1	-1	-1	1	0	1	1	1	1	-1	0	-1	1
GPR45	1	0	1	1	1	1	-1	-1	1	0	1	0	1	1	1	0	0	1	1	-1	1	0	0	1	0	1	-1	0	1	1
PTGDR2	-1	-1	0	0	-1	1	1	0	1	0	0	0	-1	-1	1	1	0	-1	1	1	0	0	1	1	-1	1	0	-1	1	0
PACSIN2	-1	-1	-1	-1	1	0	0	1	0	-1	1	-1	0	-1	-1	0	-1	1	-1	1	1	0	-1	-1	-1	1	1	-1	0	-1
MAN1B1	0	0	1	1	-1	1	0	-1	0	1	1	-1	1	-1	0	-1	-1	-1	2	-1	-1	-1	-1	1	-1	-1	-1	1	0	-1
HRH3	1	2	-1	-1	1	1	-1	1	-1	1	-1	1	1	1	1	1	1	1	2	-1	1	0	1	1	1	1	1	0	1	0
TP53TG1	0	1	1	1	1	1	1	1	1	-1	1	1	0	2	1	2	1	-1	1	-1	0	0	1	1	1	1	0	0	1	1
DCTN3	0	0	1	-1	-1	1	1	1	0	0	-1	-1	-1	-1	-1	-1	1	0	1	0	-1	-1	-1	-1	-1	-1	0	1	-1	-1
FILIP1L	1	1	0	-1	1	-1	0	0	-1	0	1	-1	-1	-1	0	1	-1	0	2	-1	1	1	1	1	-1	1	-1	0	1	1
XPOT	-1	0	1	-1	1	-1	1	1	-1	1	0	1	0	-1	1	1	1	1	1	1	1	0	0	1	-1	-1	0	0	1	-1
CHP	-1	-1	-1	-1	1	-1	-1	-1	1	-1	0	0	-1	1	-1	1	0	1	0	-1	0	1	1	1	-1	-1	1	-1	1	1
SP140	1	0	0	1	-1	1	-1	0	-1	0	0	0	1	1	-1	0	-1	0	-1	-1	0	0	-1	-1	1	-1	-1	0	-1	1
PXMP4	1	-1	-1	-1	1	-1	-1	1	1	1	-1	1	1	1	1	1	-1	1	1	-1	1	0	1	2	0	1	0	0	0	0
DUSP12	1	1	1	1	0	0	-1	1	1	1	-1	1	1	1	-1	1	-1	1	1	1	1	0	0	1	1	0	0	1	-1	1
SNF8	1	1	1	-1	-1	1	1	1	0	1	1	1	-1	1	1	0	0	1	-1	1	1	0	0	-1	1	-1	-1	0	0	1
DDX19B	-1	-1	1	1	1	-1	1	-1	-1	1	0	0	1	2	1	0	-1	1	0	-1	-1	0	0	1	0	1	-1	-1	1	-1
NRM	1	-1	1	0	1	-1	-1	0	0	-1	0	0	-1	-1	1	0	1	0	-1	1	1	0	0	1	-1	0	0	-1	-1	1
PRR4	-1	-1	-1	-1	1	1	1	1	-1	1	0	1	1	-1	1	1	1	1	0	0	1	-1	1	1	2	1	0	0	2	-1
ATXN2L	-1	-1	1	1	1	0	1	1	0	0	0	0	1	1	-1	0	-1	1	0	-1	0	0	0	1	1	1	-1	1	1	0
USP18	-1	-1	0	0	1	1	-1	0	1	2	1	-1	0	-1	-1	0	1	-1	-2	1	1	0	0	-1	-1	0	1	1	-1	0
KLHL2	0	1	1	0	0	1	1	1	-1	0	-1	0	0	0	-2	-1	0	-1	-1	0	-1	0	1	-1	-1	-1	1	-1	-1	0
SYNRG	1	1	1	-1	-1	1	1	-1	0	1	-1	1	-1	-1	-1	0	0	-1	-1	2	1	0	0	-1	1	-1	-1	0	1	-1
TREX1	0	-1	-1	1	-1	-1	1	0	0	-1	-1	0	-1	-2	-1	-1	-1	-1	-1	1	-1	-1	-1	-2	-2	-1	-1	-1	0	-1
KLF12	1	-1	-1	1	-1	-1	-2	-1	-1	0	1	0	1	-1	-2	-1	-1	1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1
