Hugo_Symbol	PHLC106	PHLC110	PHLC111	PHLC113	PHLC116	PHLC119	PHLC122	PHLC123	PHLC12	PHLC132	PHLC133	PHLC134	PHLC137	PHLC139	PHLC148	PHLC149	PHLC151	PHLC152	PHLC154	PHLC156	PHLC162	PHLC164	PHLC169	PHLC171	PHLC178	PHLC181	PHLC182	PHLC188	PHLC189	PHLC191	PHLC192	PHLC193	PHLC194	PHLC196	PHLC198	PHLC200	PHLC204	PHLC205	PHLC207	PHLC211	PHLC215	PHLC220	PHLC223	PHLC225	PHLC228	PHLC229	PHLC234	PHLC235	PHLC236	PHLC237	PHLC239	PHLC242	PHLC243	PHLC247	PHLC251	PHLC252	PHLC255	PHLC256	PHLC267	PHLC268	PHLC271	PHLC272	PHLC273	PHLC274	PHLC277	PHLC286	PHLC295	PHLC296	PHLC299	PHLC309	PHLC314	PHLC315	PHLC321	PHLC325	PHLC326	PHLC328	PHLC334	PHLC339	PHLC344	PHLC353	PHLC356	PHLC360	PHLC362	PHLC365	PHLC366	PHLC369	PHLC379	PHLC390	PHLC397	PHLC402	PHLC410	PHLC412	PHLC417	PHLC422	PHLC426	PHLC428	PHLC431	PHLC435	PHLC438	PHLC444	PHLC451	PHLC459	PHLC462	PHLC469	PHLC470	PHLC471	PHLC501	PHLC50	PHLC55	PHLC57	PHLC62	PHLC655	PHLC77	PHLC81	PHLC82	PHLC83	PHLC85	PHLC86
A1BG	0	1	-1	-1	1	-1	-1	1	-1	1	-1	0	0	-1	-1	-1	1	0	1	1	-1	1	-1	1	1	0	0	0	1	1	-1	0	-1	1	2	1	1	1	0	0	1	-1	1	2	1	-1	1	-1	1	1	1	0	-1	1	1	0	1	0	2	1	2	-1	2	0	1	0	0	0	1	0	-1	-1	-1	0	1	-1	-1	1	1	0	-1	0	0	1	-1	1	1	0	1	-1	1	-1	1	1	1	-1	1	1	0	1	-1	0	-1	0	0	0	0	-1	1	1	0	2	-1	-1	0	-1	1	-1
A2M	-1	-1	-1	1	1	-1	1	1	-1	1	-1	1	1	1	0	0	0	1	0	1	-1	1	-1	1	1	1	1	0	1	1	-1	-1	1	1	0	1	1	1	0	1	1	0	0	0	1	0	1	-1	0	0	0	-1	-1	0	1	1	1	1	1	0	1	2	1	-1	1	0	1	0	1	1	0	0	1	0	1	1	-1	0	0	1	1	0	1	1	1	1	1	1	1	2	1	-1	-1	-1	-1	1	1	-1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	2	0	-1	1	1	0
A2MP1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	1	1	1	0	1	0	1	0	1	-1	1	-1	1	1	1	1	0	1	1	-1	-1	1	1	2	1	1	1	0	1	1	0	0	0	1	0	1	-1	0	0	0	-1	-1	0	1	1	1	1	1	0	1	2	1	-1	1	0	1	0	1	1	0	0	1	0	1	1	-1	0	0	1	1	0	1	1	1	1	1	1	1	2	1	-1	-1	-1	-1	1	1	-1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	2	0	-1	1	1	0
NAT1	2	-1	-1	1	-1	0	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	0	-1	-1	-1	1	1	-2	1	-1	-1	0	2	-1	0	-1	-1	-1	-1	1	-1	-1	-1	1	0	-1	-1	-1	0	-1	0	-1	-1	1	-1	0	-1	-1	1	0	-1	-1	-1	-2	-2	-1	-1	0	0	-1	0	-1	-1	-1	-1	0	-1	0	-1	-1	0	1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	0	1	1	0	-1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	-1
NAT2	2	-1	-1	1	-1	0	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	0	-1	-1	-1	1	1	-2	1	-1	-1	0	2	-1	0	-1	-1	-1	-1	1	-1	-1	-1	1	0	-1	-1	-1	0	-1	0	-1	-1	1	-1	0	-1	-1	1	0	-1	-1	-1	-2	-2	-1	-1	0	0	-1	0	-1	-1	-1	-1	0	-1	0	-1	-1	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	1	0	-1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	-1
SERPINA3	0	1	1	1	-1	-1	-1	-1	-1	-1	-1	0	1	0	-1	0	0	-1	1	1	1	0	1	0	1	0	-1	1	-1	1	-1	1	0	-1	1	-1	-1	0	1	1	0	1	1	-1	-1	-1	-1	1	0	-1	-1	-1	-1	0	1	1	0	-1	-1	0	1	1	-1	0	-1	0	0	0	0	0	1	1	-1	0	-1	1	1	-1	0	1	0	0	0	1	0	1	0	-1	1	0	1	-1	1	-1	-1	1	-1	1	0	-1	-1	1	0	1	1	0	-1	2	-1	0	0	0	1	0	1	1	-1	0
AADAC	-1	1	1	1	1	-1	1	1	-1	1	0	-1	-1	1	-1	1	0	0	1	1	1	0	1	1	-1	1	1	1	-1	-1	-1	2	0	0	2	2	1	1	2	-1	1	1	1	2	2	1	1	-1	0	-1	0	1	-1	1	1	1	-1	0	1	1	1	1	1	0	1	1	2	2	1	0	0	0	1	0	-1	1	-1	0	0	1	1	0	1	2	2	1	1	1	1	-1	1	1	1	2	-1	1	1	1	0	0	1	0	2	2	1	0	1	1	1	1	1	0	0	-1	0	1	1	1
AAMP	0	1	0	-1	-1	-1	-1	1	1	-1	-1	0	1	1	-1	0	0	0	-1	0	0	0	-1	-1	-1	0	1	0	0	1	1	1	1	-1	-1	0	-1	1	-1	0	-1	-1	0	0	0	-1	1	0	0	1	0	1	-1	1	1	0	-1	0	0	-1	0	1	1	0	1	-1	-1	1	-1	1	0	0	-1	0	0	-1	0	-1	0	1	-1	0	0	-1	-1	-1	0	-1	0	1	-1	0	1	-1	1	0	0	0	0	-1	1	-1	0	1	-1	1	-1	0	-1	0	0	0	-1	1	1	-1	1	0
AANAT	-1	1	1	1	1	1	1	-1	-1	-1	1	2	1	-1	1	-1	0	-1	1	1	1	1	-1	1	0	1	-1	1	1	-1	-1	-1	2	0	-1	1	-1	-1	1	1	0	1	0	-1	1	-1	1	1	1	1	0	1	1	1	1	0	1	1	0	-1	1	1	-1	-1	-1	-1	-1	1	1	1	1	1	0	-2	-1	-1	1	1	0	-1	-1	1	-1	0	0	0	1	0	1	1	-1	1	1	-1	1	1	-1	1	0	0	0	0	1	1	-1	1	0	0	1	1	0	0	1	2	1	1	-1	1
AARS	0	-1	-1	-1	-1	1	-1	-1	1	1	-1	1	-1	0	1	0	-1	-1	1	0	1	-1	-1	-1	0	1	1	0	0	1	2	1	0	1	1	0	1	0	1	-1	-1	1	0	-1	1	0	-1	-1	0	-1	0	-1	-1	-1	0	-1	0	-1	-1	0	1	1	1	0	1	1	1	0	0	-1	0	1	1	0	1	1	-1	-1	-1	1	-1	0	-1	0	1	0	0	1	-1	0	1	-1	1	0	-1	-1	-1	1	0	0	1	-1	0	0	-1	0	0	1	-1	1	-1	-1	1	0	-1	-1	-1	-1
ABAT	0	0	-1	-1	0	1	1	-1	1	1	-1	-1	0	-2	1	-1	-1	-1	0	0	1	1	0	0	1	1	1	1	0	1	1	1	0	-1	-1	0	1	0	1	0	-1	-1	0	0	1	0	-1	-1	0	-1	0	1	1	0	1	-1	1	0	0	-1	-1	-1	-1	-1	1	-1	-1	0	0	1	0	1	1	2	1	1	-1	-1	-1	1	0	0	1	0	-1	-1	0	1	-1	1	1	1	1	0	0	-1	1	1	1	-1	1	-1	1	-1	-1	0	0	0	1	0	0	1	-1	0	0	-1	-1	-1
ABCA1	-2	1	0	-1	1	1	1	-1	0	-1	1	1	0	0	1	1	0	-1	-1	-1	0	0	0	-1	0	0	0	1	-1	1	0	1	0	-2	0	-1	1	0	1	0	-1	-1	0	0	1	-1	-1	0	0	1	0	1	-1	0	-1	0	1	-1	-1	-1	0	0	-1	-1	-1	1	0	1	-1	-1	-1	-1	1	-2	0	1	0	-1	1	-1	0	0	0	0	-1	1	-1	0	-1	-1	-1	1	0	1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	-1	0	0	1	-1	1	1	1	1	-1	-1	0	-1	-1
ABCA2	0	0	0	-1	-1	1	1	-1	1	-1	1	1	1	1	0	0	0	1	1	-1	-1	-1	0	-1	-1	1	0	1	-1	1	-1	0	2	0	-1	-1	1	1	1	0	-1	-1	1	0	-1	2	-1	-1	-1	-1	1	1	-1	0	-2	0	1	-1	-1	-1	-1	-1	-2	-1	-1	-1	1	1	-1	1	-1	-1	1	-2	-1	1	1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	2	0	-1	0	-1	-1	0	-1	2	1	0	-1	-1	-1	0	0	-1	-1	0	0	1	0	-1	-1	-1	-1	-1
ABCA3	1	0	-1	-1	0	-1	1	-1	0	1	-1	0	0	1	1	-1	-1	-1	1	0	1	-1	0	0	1	0	-1	1	1	0	1	1	1	-1	1	-1	1	0	1	0	-1	-1	0	0	1	1	-1	-1	-1	-1	1	1	-1	0	1	-2	1	0	-1	-1	-1	-1	-1	-1	1	-1	-2	0	1	-1	-1	1	1	-2	1	1	-1	-1	-1	1	-1	-1	1	0	-1	-1	0	-1	-2	1	1	1	1	-1	0	-1	1	2	0	-1	0	-1	1	-1	-1	0	0	0	-1	1	1	1	-1	0	0	-1	-1	-1
ABCF1	0	1	-1	-1	1	1	0	1	0	1	0	0	-1	0	-1	0	-1	-1	-1	1	-1	0	0	0	-1	-1	1	0	0	-1	-1	-1	0	1	1	0	1	-1	1	1	1	0	-1	0	0	-1	0	1	0	1	0	1	1	0	0	0	-2	-1	1	0	-1	1	-1	0	0	-1	0	-1	0	0	0	0	1	0	-1	1	1	-1	0	-1	-1	0	1	0	-1	1	1	-1	1	-1	0	1	1	0	0	1	1	1	1	-1	-1	0	-1	0	0	0	0	0	0	1	-1	-1	-1	-1	1	0	1	-1
ABCA4	0	2	0	0	0	0	0	-1	0	1	1	1	-1	0	1	1	-1	0	1	-2	1	0	-1	-2	-1	1	0	0	0	-1	1	1	-1	0	1	-1	0	1	1	-1	-1	0	-1	-1	0	-1	-1	0	0	-1	-1	0	1	-1	0	-1	0	-1	-1	0	0	-2	-1	0	-1	-1	0	0	0	0	1	0	-1	0	1	-1	-1	0	0	-1	0	-1	1	-1	1	0	-1	0	1	-1	1	-1	0	-1	1	-1	1	0	-1	0	0	2	-1	-1	0	0	-1	-1	-1	-1	0	-1	0	-1	-1	-1	-1	-1
ABL1	0	1	0	-1	-1	1	1	-1	1	-1	1	1	1	0	0	0	0	-1	1	-1	-1	-1	0	-1	-1	0	0	1	-1	1	-1	0	1	0	-1	-1	-1	-1	1	0	-1	-1	0	-1	0	1	-1	-1	-1	-1	1	1	-1	0	-1	0	1	-1	-1	-1	-1	0	-1	-1	-1	-1	1	1	-1	0	-1	-1	-1	-2	0	1	1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	1	1	0	-1	-1	1	1	-1
ABP1	0	2	1	-1	1	1	-1	-1	-1	1	0	0	-1	0	1	1	1	0	1	1	1	1	1	0	1	0	1	0	1	-1	1	0	0	-1	1	1	-1	0	1	0	1	0	1	1	-1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	0	-1	0	1	1	1	0	0	1	1	0	1	1	-1	-1	1	1	-1	1	1	0	0	1	0	0	0	0	-1	1	-1	0	1	1	1	1	1	1	1	-1	-1	1	0	1	0	0	1	0	0	0	1	1	-1	0	-2	0
ABL2	-1	1	1	-1	1	-1	0	1	1	0	1	1	-1	0	-1	0	1	0	1	1	1	1	-1	1	-1	1	0	0	1	1	1	1	1	1	1	1	1	1	-1	1	-1	1	0	1	1	1	1	-1	-1	1	0	1	1	1	-1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	0	0	1	-2	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	0	-1	1	1	-1	1	1	0	1	0	0	0	1	0	1	0	-1	1	1	-1	1	-1	1	-1	1	1	1
ABO	0	0	0	-1	-1	1	0	-1	1	-1	1	1	1	1	0	0	0	-1	1	-1	-1	-1	0	-1	-1	0	0	1	-1	1	-1	0	-1	0	-1	-1	-1	0	1	0	-1	-1	0	0	-1	2	-1	-1	-1	-1	1	1	-1	0	-1	0	1	-1	-1	-1	-1	-1	-2	-1	-1	-1	1	1	-1	0	-1	-1	-1	-2	0	1	1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	0	1	1	0	-1	-1	1	1	-1
ABR	0	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	0	-1	-1	1	0	0	1	-1	1	-1	1	-1	0	1	0	1	1	1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	0	-1	1	1	-1	0	-1	-1	1	-1	-1	1	0	0	0	0	0	1	1	0	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	1	-1	0	0	-1	0	-1	1	-1	1	-1	0	1	-1	-1	-1	-1	-1	0	1	1	-1
ACAA1	1	-1	-1	1	0	-1	-1	-1	0	-1	-1	0	-1	-1	1	-1	0	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	1	-1	0	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	0	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	0	0	-1	0	0	-1	1	-1	0	-1	0	0	0	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	-1	-1	-1	1	0	0	0	-1	-1	1	-1	-1	-1	0	1	-1	1	-1	1
ACACA	0	1	1	-1	1	1	-1	-1	-1	-1	-1	0	1	0	1	0	0	0	-1	0	1	-1	0	0	1	1	-1	-1	1	-1	-1	0	0	-1	-1	0	1	-1	1	1	0	1	0	0	-1	-1	1	2	0	1	1	1	-1	1	1	0	1	-1	1	-1	1	1	0	0	1	0	1	1	0	-1	1	-1	-1	0	-1	1	-1	0	0	0	1	1	-1	-1	1	0	-1	0	1	1	-1	1	-1	0	1	-1	-1	1	0	-1	-1	0	1	0	-1	1	0	0	-1	1	0	0	1	-1	-1	1	-1	0
ACACB	-1	-1	0	-1	0	-1	0	0	0	1	1	0	-1	0	1	-1	0	1	-1	0	-1	1	-1	1	-1	1	1	0	1	0	-1	1	0	-1	0	1	-1	1	-1	0	0	1	0	0	-1	0	1	0	0	1	0	0	-1	0	1	-1	1	0	-1	0	-1	1	0	0	1	0	1	0	-1	-1	1	-1	1	0	1	1	1	0	1	-1	0	0	1	0	-1	1	1	1	1	-1	-1	1	-1	-1	1	0	1	-1	0	1	-1	1	1	-1	0	0	0	0	0	0	0	-1	1	0	-1	1	1	0
ACADL	0	1	0	-1	-1	1	-1	1	1	-1	-1	0	1	1	-1	1	0	0	-1	0	0	0	-1	0	-1	0	1	0	0	1	1	1	0	0	-1	-1	1	1	-1	0	-1	-1	0	0	0	-1	0	0	0	1	0	1	-1	1	1	0	-1	0	0	-1	0	1	1	0	1	-1	-1	0	0	1	0	0	-1	-2	0	1	0	-1	0	1	-1	0	0	-1	0	-1	0	-1	0	1	-1	0	1	-1	1	0	1	0	0	-1	1	-1	0	1	-1	1	-1	0	1	0	0	0	-2	0	1	-1	0	0
ACADM	0	2	0	0	0	0	0	-1	0	1	0	1	0	0	1	1	-1	0	2	1	1	0	-1	1	-1	1	0	0	0	-1	1	1	1	1	1	-1	0	1	0	-1	1	0	-1	-1	0	-1	-1	1	0	-1	-1	0	1	-1	0	-1	-1	-1	-1	1	0	-1	-1	0	1	-1	0	0	0	1	1	0	-1	0	1	-1	-1	0	0	-1	0	0	0	-1	-1	0	2	0	1	-1	1	-1	0	-1	1	-1	1	0	0	1	0	2	-1	-1	1	0	-1	-2	0	-1	0	-1	-1	1	-1	-1	1	-1
ACADS	0	-1	0	-1	0	-1	0	0	0	1	1	2	-1	0	1	-1	0	0	-1	0	-1	1	-1	1	-1	1	1	0	1	0	-1	1	1	-1	-1	1	-1	1	-1	0	-1	1	0	0	-1	0	0	-1	0	1	0	0	-1	0	1	1	1	0	-1	0	-1	1	0	0	1	0	1	0	-1	-1	1	-1	1	2	1	1	1	0	1	-1	0	0	1	0	-1	1	1	1	1	-1	-1	1	-1	-1	1	0	-1	-1	0	1	-1	1	1	-1	0	0	0	0	0	0	1	-1	1	-1	-1	1	1	0
ACADSB	1	-1	-1	0	0	0	-1	-1	1	0	1	-2	-1	1	0	-1	0	0	-1	0	-1	-1	1	1	1	0	1	-1	1	0	-1	-1	-1	-1	-1	-1	-2	-1	-1	1	-1	0	-1	-1	0	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	0	0	0	-1	0	0	-1	1	-1	1	0	-1	-1	1	1	1	1	-1	0	0	0	0	0	1	0	1	-1	0	1	-1	-1	-1	0	-1	-1	0	1	-1	-1	1	-1	-1	1	0	-1	0	-1	1	-1	-1	0	-1	-1	-1	1
ACADVL	0	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	0	-1	-1	1	0	0	1	-1	1	-1	-1	-1	0	1	0	1	1	1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	1	-1	1	0	-1	0	-1	-1	1	-1	-1	1	0	0	0	0	0	1	1	1	-1	-1	-1	1	-1	0	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	1	-1	0	0	-1	0	-1	1	-1	1	-1	1	1	-1	-1	-1	0	-1	0	1	1	-1
ACAT1	0	2	-1	-1	1	-1	0	1	1	0	-1	-2	-1	0	1	1	0	0	-2	1	-1	0	1	2	1	0	0	0	0	-1	1	-1	1	1	0	1	0	0	0	1	1	1	0	0	-1	-1	0	-1	0	1	-1	-1	1	0	1	0	1	-1	-1	0	0	0	-1	1	1	0	-1	0	1	-1	1	1	-1	0	0	0	-1	1	1	1	0	0	1	0	1	1	-1	1	0	1	0	1	1	0	1	0	1	-2	0	0	-1	0	1	1	-1	0	-1	1	-1	-2	1	-1	1	1	0	1	-1	1
ACAT2	0	0	1	0	-1	-1	1	1	-1	1	1	0	0	1	0	-1	0	0	-1	1	0	-1	1	0	-1	0	1	-1	0	-1	-1	-1	0	-1	1	1	-1	-1	-1	-1	1	-1	0	0	1	-1	0	-1	-1	-2	0	0	1	0	0	-1	1	-1	0	0	-1	1	-1	1	-1	-1	0	-1	0	-1	2	0	1	0	0	1	0	0	0	-1	1	0	-1	0	0	0	0	0	1	0	1	1	1	-1	-1	1	-1	1	0	-1	-1	0	0	0	0	0	0	1	0	-1	1	-1	1	-1	-1	0	1	1
ACCN1	0	1	2	1	0	1	-1	-1	-1	-1	-1	0	1	0	1	1	0	0	-1	0	1	-1	0	0	1	1	-1	1	1	-1	-1	0	0	-1	-1	1	-1	-1	1	1	0	1	0	0	-1	-1	1	1	0	1	0	1	-1	1	1	0	1	-1	1	-1	1	1	0	0	1	0	1	1	0	-1	1	0	-1	2	-1	1	-1	-2	0	1	1	1	0	-1	1	-1	-1	0	1	1	-1	1	-1	0	1	-1	1	1	0	-1	-1	0	1	0	-1	1	0	0	1	1	0	0	1	-1	1	1	-1	0
ACCN2	-2	-1	0	-1	0	1	0	0	-1	1	1	0	-1	-1	1	-1	0	0	1	0	0	1	-1	1	1	1	1	0	1	0	-1	-1	1	1	0	1	1	1	0	0	1	1	0	1	1	0	0	-1	0	0	1	0	-1	0	1	0	0	1	1	0	1	1	0	0	1	1	1	1	0	0	1	0	1	0	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	0	-1	-1	0	0	1	0	1	-1	0	1	-1	0	-1	1	-1	0	0	0	0	0	0	1	1	-1	-1	1	-1	0
ACHE	0	0	1	-1	1	-1	0	-1	1	1	-1	0	-1	-1	1	1	0	0	1	1	1	1	1	-1	1	0	1	1	1	1	1	0	0	1	-1	1	1	0	1	0	1	0	1	1	-1	0	1	-1	1	1	0	1	1	1	1	0	1	0	0	1	1	1	1	0	-1	1	1	1	1	1	1	1	1	0	1	1	-1	0	1	1	1	1	1	0	1	1	0	0	-1	0	1	1	-1	0	1	0	1	1	1	1	1	-1	-1	1	0	1	0	-1	1	-1	-1	0	0	1	1	0	1	0
ACLY	0	1	1	-1	1	1	-1	-1	-1	-1	0	0	1	0	1	-1	0	0	0	0	1	-1	0	0	1	1	-1	0	1	-1	-1	0	0	-1	-1	0	1	-1	1	1	0	1	0	0	1	-1	1	1	1	1	1	1	-1	1	1	0	1	-1	1	-1	1	1	0	0	1	0	1	1	0	-1	1	-1	-1	0	0	1	-1	0	0	0	1	1	-1	-1	1	0	-1	0	1	1	-1	1	-1	-1	1	-1	0	1	0	-1	-1	0	1	0	-1	1	0	-1	1	1	0	0	0	-1	1	1	-1	0
ACO1	1	0	0	-1	2	1	1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	0	0	1	-1	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	1	-1	-1	-1	0	-2	-1	1	-1	0	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	0	1	0	-1	-1	-1	-1	-1	0	0	-1	0	0	0	1	0	0	0	1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	1	0	-1	2	1	1	1	1	-1	-1	-1	0	1	-1
ACR	1	-1	-1	1	1	-1	1	1	-1	1	-1	-1	0	-2	0	-1	-1	1	0	1	1	1	1	1	1	-1	0	1	-1	0	-1	0	-1	-2	2	1	-2	0	-1	0	-1	1	0	-1	2	-1	-1	1	0	1	-1	1	-1	-1	-1	0	0	-1	1	1	1	1	1	1	1	1	1	0	-1	-1	-1	-1	0	0	-2	-1	-1	1	-1	2	2	0	0	1	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	1	1	-1	0	-1	1	-1	0	1	2	1	-1	0	-1	1	1	-1	-1	1	-1	-1	1	0
ACO2	0	-1	-1	1	1	-1	1	1	-1	1	-1	-1	0	1	0	1	-1	1	0	1	1	1	1	1	1	-1	0	1	-1	0	-1	0	-1	-1	2	0	-1	0	-1	1	-1	1	0	-1	1	-1	-1	1	0	-1	-1	1	-1	0	-1	0	0	-1	1	1	1	0	1	0	1	1	1	0	-1	-1	-1	-1	-1	0	0	-1	-1	0	-1	1	1	0	0	1	0	2	-1	-1	-1	-1	1	0	-1	-1	-1	1	0	-1	0	2	1	-1	0	1	1	1	-1	0	0	1	1	-1	-1	1	-1	-1	1	0
ACOX1	-1	1	1	0	1	0	1	-1	-1	-1	1	2	1	-1	1	-1	0	-1	1	1	1	1	-1	1	0	1	-1	1	1	-1	-1	-1	2	-1	-1	1	-1	-1	1	1	0	1	0	-1	1	-1	1	1	1	1	0	1	1	1	1	0	1	1	0	-1	1	1	-1	-1	-1	-1	-1	1	0	1	1	1	0	-2	-1	-1	1	1	0	-1	-1	1	-1	0	0	0	1	0	1	1	-1	1	-1	-1	1	1	-1	1	0	0	0	0	1	1	-1	1	0	0	1	1	0	0	0	2	1	1	-1	1
ACP1	0	1	-1	-1	1	-1	0	1	1	1	0	-1	1	0	-1	1	0	0	1	0	-1	0	-1	0	1	0	1	-1	0	-1	-1	1	-1	1	1	-2	1	1	-1	1	0	1	0	1	1	0	0	-1	0	1	1	1	0	1	-1	0	1	1	1	0	1	-2	1	0	1	-1	0	0	-1	0	-1	0	1	2	-2	0	0	0	1	1	1	0	0	0	0	1	0	0	-1	0	1	-1	1	0	1	1	-1	-1	0	1	-1	-1	-1	1	-1	1	0	1	1	1	-1	0	1	0	1	-1	1	1
ACP2	0	-1	-1	-1	1	-1	1	-1	-1	-1	-1	2	1	-1	1	0	0	0	-1	1	-1	-1	1	-1	1	1	0	0	0	-1	1	-1	-1	1	1	-1	-1	0	-1	-1	0	1	0	0	-1	-2	0	0	0	-1	0	0	-1	0	1	0	1	-1	0	0	-1	-1	-1	0	1	0	0	0	1	-1	0	1	1	0	0	-1	-1	-1	0	-1	0	0	-1	0	0	-1	-1	1	0	-1	-1	1	-1	0	1	1	-2	0	0	0	-1	0	1	-1	-1	0	0	0	-2	1	0	0	-1	1	1	1	-1	0
ACP5	0	-1	-1	1	0	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	0	-1	1	-1	-1	-1	1	1	-2	-1	0	-1	1	1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	0	0	1	-1	-1	1	-1	0	-1	-1	-1	1	1	-1	0	-1	-1	1	1	-1	-1	0	-1	1	-1	1	-1	-1	0	-1	-1	0	-1	1	1	0	-1	-1	-1	0	-1	0	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	0	-1	-1	-2	-1	-1	-1	0	0	0	-1	1	-1	-1	0	0	0	1	1	1
ACPP	-1	1	1	1	1	-1	1	-1	-1	0	0	-1	-1	1	0	1	0	0	1	1	1	0	-1	1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	2	-1	1	-1	1	2	1	1	-1	-1	0	-1	0	1	-1	1	1	1	0	1	1	1	1	1	1	0	1	-1	2	2	0	0	0	0	1	0	-1	1	-1	0	0	-1	1	0	1	0	1	1	0	1	1	-1	1	1	1	0	-1	1	-1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	0	0	-1	0	1	1	1
ACRV1	1	2	-1	-1	-1	-1	0	1	1	-1	-1	-2	-1	0	1	0	0	0	1	1	-1	0	1	1	1	0	0	-1	0	0	1	-1	0	1	2	0	-1	0	0	-2	0	1	0	0	-1	-1	0	-1	0	1	-1	-1	1	0	1	0	1	-2	-1	0	-1	-1	-1	0	0	0	-1	0	1	-1	0	1	-1	0	0	0	2	1	1	1	-1	0	1	0	1	1	-1	1	0	-1	0	1	1	0	1	0	1	-1	0	0	0	0	1	0	-1	0	0	1	-1	-1	0	-1	1	1	1	1	-1	1
ACTA1	0	1	1	-1	-1	-1	0	1	1	1	1	2	-1	0	-1	-1	1	0	1	1	1	1	-2	1	1	-1	0	-1	1	-1	1	0	1	-1	1	1	1	1	-1	1	-1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	2	1	0	1	1	1	0	1	1	1	1	-1	0	-1	-1	1	0	1	1	1	1	1	1	1	0	0	1	0	1	-1	0	1	2	1	-1	1	0	1	-1	0	1	0	2	-1	-1	1	1	-1	1	1	-1	1	1	-1	1	-1	1	1	-1	1	-1
ACTA2	1	-1	-1	1	0	0	-1	-1	1	0	1	1	-1	1	0	-1	0	0	-1	0	-2	0	1	1	1	0	1	-1	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	1	0	0	0	0	0	0	-1	-1	-1	-1	0	0	-1	-1	-1	0	-1	1	1	1	-1	0	0	1	2	-1	1	0	0	-1	1	-1	0	-1	1	0	0	0	0	-2	1	0	1	-1	1	1	-1	0	-1	0	-1	-1	0	1	-1	-1	1	-1	-1	1	-2	-1	0	-1	0	-1	-1	-1	1	-1	-1	1
